FLD *;;CMD N1;;CMD N0;
UNDEF;UNDEF;UNDEF;WAIT N1;UNDEF;WAIT N0
DEFECT;N0;;;;
N0;N1;N0;;;
N1;DEFECT;;;N1;
WAIT N0;;WAIT N0;;;
WAIT N1;;;;WAIT N1;
