FLD *;;CMD OPEN;;CMD CLOSED;
UNDEF;UNDEF;UNDEF;WAIT OPEN;UNDEF;WAIT CLOSED
DEFECT;DEFECT;;;;
OPEN;OPEN;;;OPEN;
CLOSED;CLOSED;CLOSED;;;
WAIT OPEN;;;;WAIT OPEN;
WAIT CLOSED;;WAIT CLOSED;;;
