FLD *;;CMD LEFT;;CMD RIGHT;;CMD WU;;CMD WU;
UNDEF;UNDEF;UNDEF;WAIT LEFT;UNDEF;WAIT RIGHT;;WAIT RIGHT;;WAIT LEFT
DEFECT;LEFT;;;;;;;;
LEFT;RIGHT;;;LEFT;;LEFT;;;
RIGHT;DEFECT;RIGHT;;;;;;RIGHT;
WAIT LEFT;;;;WAIT LEFT;;;;;
WAIT RIGHT;;WAIT RIGHT;;;;;;;
